0 7617,7787,9914,1702,9245,4496,8055,6694,4405,445
1 2195,9552,6583,9523,8553,6331,8273,8495,5891,0802
2 2569,6042,2071,213,5555,8993,984,0429,466,1494
3 4649,5284,719,8683,4902,441,9947,2883,4089,4553
4 0871,5434,2302,6539,9677,9173,3635,5496,2758,6845
5 7555,7713,0148,1861,7496,9721,9703,5429,7072,1363
6 4775,2978,8568,6795,2858,4955,6374,0779,0827,0836
7 2365,2524,7337,9879,7852,9398,376,875,1456,2412
8 6652,7592,8973,6542,6071,2922,0685,9762,1234,6299
9 9234,2257,2941,269,4691,0028,9937,4193,9661,9468
10 1376,363,2675,6174,1217,2213,661,4752,4444,0794
11 1943,6546,6415,704,5934,1897,3609,8699,8061,6368
12 7157,6185,1505,4769,5223,3914,7994,3918,8619,7001
13 0455,8409,7229,0991,6463,9221,7774,65,4938,2937
14 4363,3543,852,8585,5391,3594,5307,294,4543,4209
15 856,7265,8381,3821,1075,6258,9014,1466,239,4814
16 1253,9444,9806,8529,4482,0443,301,0162,5105,9318
17 1651,9641,4322,8696,4054,8097,7221,657,6655,4886
18 8137,0758,5112,6372,3242,2939,6388,446,0663,3468
19 6395,4709,1615,2618,0095,6265,5247,198,4547,7448
20 0608,2361,6324,1929,7757,3289,6283,6371,4255,7635
21 9413,0479,8222,2238,2662,9128,5479,0385,444,2171
22 1894,9434,7868,5058,5808,5893,0436,0671,1065,1477
23 8593,649,7001,8557,7994,5586,7802,2024,0507,6735
24 4607,1844,0433,6525,5371,1951,8849,8071,8846,9657
25 8382,005,0603,8834,3849,7471,9169,1763,1394,9849
26 6039,9397,8814,5334,2058,6004,7908,3728,5126,4126
27 1113,3676,042,0215,3366,0875,3423,0633,999,5092
28 2752,0782,3058,8058,3848,7544,8818,085,0033,1706
29 5149,1219,9588,4226,5913,4657,443,2091,0277,8408
30 6675,6564,1605,6055,9147,7158,7682,4032,054,0877
31 2932,0692,5188,2396,1025,4362,0109,0727,1496,9118
32 7802,1279,4353,4661,7106,6735,8885,3084,9048,649
33 1756,9471,2939,1142,8137,9453,9123,0006,5032,81
34 2816,1208,2955,6345,4728,4258,4041,6258,239,856
35 1246,264,9732,2192,9957,7147,2721,1026,636,0454
36 0186,1394,5593,373,6635,8626,1763,3849,5248,3113
37 7654,4711,6554,167,0712,0269,0403,6426,0496,7843
38 2732,3759,2225,5734,0701,4596,4559,5969,2101,6119
39 2381,869,9468,2006,4462,3106,0337,5122,7895,9234
40 7268,9531,834,7923,2003,0418,3259,0318,7368,3983
41 1294,3909,8496,6348,4223,5578,5726,6956,9325,7279
42 4929,5674,0016,9003,234,4051,5228,2229,3577,9907
43 7218,5017,9981,2254,4407,7011,8083,2837,4055,878
44 8308,6777,6344,9778,0471,5836,5656,1202,4754,8118
45 8494,3284,6691,8739,6556,0024,8487,0878,4621,407
46 2159,7886,0534,546,6488,3866,4361,9671,7656,7479
47 4635,9264,2167,0974,9219,3024,7688,8201,5198,9859
48 0946,7513,4996,4735,0988,4652,8843,5603,4111,0356
49 1924,6984,2614,6863,4211,5639,5609,4668,7026,3185
50 2532,9977,6367,4565,4712,0989,5336,1251,2486,3743
51 8015,0657,775,662,905,8241,5903,4006,5483,2304
52 3033,3636,2237,6409,842,4623,4981,8583,682,5579
53 2228,5067,5522,3128,9636,6022,0484,9326,7768,3386
54 5691,9339,9886,4079,4108,1912,4542,3082,5573,6633
55 9685,4299,9129,6002,5158,2943,5131,8631,7997,9451
56 4938,4043,753,7094,2484,8409,116,0455,0991,7774
57 8851,1152,6494,7945,306,2349,7052,1316,2264,2848
58 6803,9797,8787,2707,8732,3791,7962,1588,4833,4866
59 4021,3566,606,9113,6208,6311,6358,8219,751,3361
60 078,9202,9029,0153,4037,5828,8992,4574,5973,3486
61 8564,6333,4368,6073,3041,8461,7404,4937,964,2946
62 5543,1534,2389,9284,0264,7934,4266,0189,4087,8643
63 0149,1905,1839,2929,8315,3532,0682,3484,6969,6006
64 5548,4475,344,3332,4238,4598,3951,0774,9619,1481
65 1624,5924,297,0437,5437,2579,6637,1867,0515,9394
66 0805,389,4636,0859,6065,4535,4399,0994,4739,1105
67 1723,398,1073,6978,3919,6419,3954,4335,7887,3328
68 8489,9581,1814,1761,8802,476,2332,8477,5954,7022
69 3968,9958,7959,734,6086,8921,0766,148,4489,4796
70 9854,5458,981,051,5375,3804,6856,8509,136,8325
71 499,339,1027,3708,4061,8472,6792,473,1424,1115
72 2194,0934,6975,0851,2809,4012,1796,1043,8465,4435
73 0182,546,7656,2916,5968,086,0378,0534,6897,9671
74 6757,4611,0451,0732,702,7838,1077,6129,4719,6319
75 5962,1419,3678,4577,0639,2189,5309,5162,6889,6674
76 4483,328,1732,5529,3205,2026,4594,6357,5227,8379
77 0807,6914,6664,6115,441,4562,5856,9841,9136,0495
78 3882,9573,9154,9688,7356,1878,5043,8621,9741,2188
79 1715,3651,4896,8111,2951,7128,2553,1454,5694,7011
80 5848,2147,5059,7032,7808,1823,1326,9345,2989,6569
81 3129,6456,8412,0893,9198,6225,6884,6715,0724,0239
82 0493,3765,6895,8035,5992,3769,0491,4002,4443,3338
83 936,9032,7379,7399,1726,5124,7065,962,7545,8986
84 8377,4101,5134,9054,486,7329,198,0253,4547,123
85 3019,8573,961,9291,0791,0567,3862,6907,8362,8506
86 1541,0199,7662,4817,4314,4642,065,1837,7199,1479
87 1009,251,0125,7833,3243,4196,8161,3003,5743,3007
88 9867,3739,9512,1792,5916,0203,1511,7353,8625,8671
89 2957,7517,7781,7091,4878,747,1562,5466,4029,9204
90 7914,2953,6158,0008,0118,1337,3075,5559,7553,1282
91 0922,4499,9456,7309,5505,6233,4288,0538,3948,3002
92 3426,7406,731,2887,7252,1007,6886,584,7931,0598
93 2157,6353,1469,6535,8182,6752,9247,6224,1057,701
94 8804,3587,5759,4965,2222,4029,4849,1051,6147,2357
95 4858,8554,1195,0832,475,3119,6953,3041,9629,5104
96 7104,3817,2525,4765,8076,0315,6156,1876,625,8918
97 7502,1005,0793,6359,7414,7042,8712,0799,2682,1603
98 9903,9232,8754,5615,6562,6369,5442,2126,6956,6401
99 393,8863,8669,0394,0593,3974,9751,5744,9486,6285
100 2934,6685,1185,2678,9703,3457,5201,4304,7496,0275
101 9296,7511,1423,5277,3746,0585,2475,7641,3544,3642
102 9249,6729,257,3165,9838,5019,3903,0838,5732,2517
103 4518,3955,9587,8997,5105,6771,296,61,6622,8705
104 6667,8833,3916,6148,5295,1451,8837,2648,7315,8122
105 6861,1438,1475,9166,7622,9058,0743,8501,7921,0691
106 9599,621,2871,4202,0775,1091,331,0194,4298,6577
107 8367,9247,6224,8204,6353,39,5381,922,1469,1415
108 6593,1802,0618,1822,3731,5417,8705,3094,2448,6622
109 2639,6489,2173,1654,3099,1081,2993,1108,6028,1074
110 1785,5988,1633,0116,0669,8072,3083,1896,4861,4673
111 7531,2303,4402,5804,9592,7482,2138,8397,5194,1249
112 6298,6464,6658,8988,5888,524,5753,097,3605,5151
113 6693,5074,5398,0091,626,6866,8191,1784,974,0734
114 0293,0957,8658,3491,9994,0837,8195,4222,8406,8426
115 3403,5503,6343,3601,3105,2049,5725,3669,8967,9068
116 851,8706,2202,5767,8216,4869,3923,1211,8883,1304
117 2644,9956,6262,4942,181,1586,9888,3504,3079,0413
118 1046,046,1192,5932,3444,4587,8356,5031,7282,9534
119 8291,9706,7405,2792,275,4799,8032,0804,4708,2463
120 5479,2238,8567,0479,5352,5214,9946,5683,9413,6931
121 9559,8652,0761,4979,3572,3984,1357,6391,5874,6024
122 2993,0461,2173,3099,517,6489,0147,4818,1074,708
123 5126,7908,5334,3728,3428,118,743,2121,124,8887
124 4306,7973,4042,7626,6062,0065,1932,8893,0903,1532
125 1733,3823,6995,4956,4373,318,7811,3653,9338,8622
126 601,9599,1091,0194,4202,331,8724,0775,714,4298
127 6596,7857,8584,9657,3887,7776,0605,6754,1772,5371
128 494,7162,3733,7362,6121,5574,7045,9582,8587,8772
129 1095,7374,831,3336,551,9209,4346,0296,9176,171
130 065,1479,0974,5094,9887,1682,0199,1541,6653,9264
131 6401,7224,8808,1586,3079,5615,6562,8754,89,3504
132 7585,7359,4567,8438,0904,0672,1678,108,8511,2875
133 2744,6577,4298,621,601,8304,1091,714,0775,0099
134 4545,0872,5706,244,5723,4792,2064,8119,6053,8133
135 7288,0864,9006,2854,5997,6007,9816,5979,0642,0506
136 2464,7877,6273,7272,3982,7037,4188,2831,3327,2077
137 7931,29,6886,7252,3426,7406,584,1007,4523,2887
138 7374,921,1095,3336,9209,551,9176,2637,0233,0296
139 2762,4018,4962,9174,7723,9258,6327,7591,5107,6349
140 9849,8209,7471,005,0603,8394,5039,4228,6635,52
141 1675,204,7467,0114,4131,1873,4583,3508,6559,5345
142 7289,5775,6067,7708,8061,489,6332,4407,2837,8552
143 8393,1223,7391,4978,4602,1758,4456,8314,9237,9888
144 6914,719,77,0807,9841,5284,4562,532,6664,3
